01037,"Cheese, ricotta, part skim milk",cup,35907
01037,"Cheese, ricotta, part skim milk",oz,35908
01037,"Cheese, ricotta, part skim milk",cup,35909
01039,"Cheese, roquefort",gram,35910
01039,"Cheese, roquefort",oz,35911
01039,"Cheese, roquefort",package (3 oz),35912
01040,"Cheese, swiss",gram,35913
01040,"Cheese, swiss","cup, diced",35914
01040,"Cheese, swiss","cup, melted",35915
01040,"Cheese, swiss","cup, shredded",35916
01040,"Cheese, swiss",oz,35917
01040,"Cheese, swiss",cubic inch,35918
01040,"Cheese, swiss",slice (1 oz),35919
01049,"Cream, fluid, half and half",gram,35920
01049,"Cream, fluid, half and half",fl oz,35921
01049,"Cream, fluid, half and half",tbsp,35922
01049,"Cream, fluid, half and half",cup,35923
01049,"Cream, fluid, half and half","container, individual (.5 fl oz)",35924
01050,"Cream, fluid, light (coffee cream or table cream)",gram,35925
01050,"Cream, fluid, light (coffee cream or table cream)",fl oz,35926
01050,"Cream, fluid, light (coffee cream or table cream)",tbsp,35927
01050,"Cream, fluid, light (coffee cream or table cream)",cup,35928
01050,"Cream, fluid, light (coffee cream or table cream)","container, individual",35929
01052,"Cream, fluid, light whipping",gram,35930
01052,"Cream, fluid, light whipping","cup, whipped",35931
01052,"Cream, fluid, light whipping","cup, fluid (yields 2 cups whipped)",35932
01052,"Cream, fluid, light whipping",tbsp,35933
01053,"Cream, fluid, heavy whipping",gram,35934
01053,"Cream, fluid, heavy whipping","cup, whipped",35935
01053,"Cream, fluid, heavy whipping","cup, fluid (yields 2 cups whipped)",35936
01053,"Cream, fluid, heavy whipping",tbsp,35937
01053,"Cream, fluid, heavy whipping",fl oz,35938
01054,"Cream, whipped, cream topping, pressurized",gram,35939
01054,"Cream, whipped, cream topping, pressurized",cup,35940
01054,"Cream, whipped, cream topping, pressurized",tbsp,35941
01055,"Cream, sour, reduced fat, cultured",gram,35942
01055,"Cream, sour, reduced fat, cultured",tbsp,35943
01055,"Cream, sour, reduced fat, cultured",cup,35944
01056,"Cream, sour, cultured",gram,35945
01056,"Cream, sour, cultured",tbsp,35946
01056,"Cream, sour, cultured",cup,35947
01057,Eggnog,gram,35948
01057,Eggnog,cup,35949
01057,Eggnog,fl oz,35950
01057,Eggnog,quart,35951
01077,"Milk, whole, 3.25% milkfat, with added vitamin D",gram,35952
01077,"Milk, whole, 3.25% milkfat, with added vitamin D",cup,35953
01077,"Milk, whole, 3.25% milkfat, with added vitamin D",fl oz,35954
01077,"Milk, whole, 3.25% milkfat, with added vitamin D",tbsp,35955
01077,"Milk, whole, 3.25% milkfat, with added vitamin D",quart,35956
01078,"Milk, producer, fluid, 3.7% milkfat",gram,35957
01078,"Milk, producer, fluid, 3.7% milkfat",cup,35958
01078,"Milk, producer, fluid, 3.7% milkfat",quart,35959
01079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",gram,35960
01079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",cup,35961
01079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",fl oz,35962
01079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",quart,35963
01080,"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids and vitamin A and vitamin D",gram,35964
01080,"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids and vitamin A and vitamin D",cup,35965
01080,"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids and vitamin A and vitamin D",quart,35966
01081,"Milk, reduced fat, fluid, 2% milkfat, protein fortified, with added vitamin A and vitamin D",gram,35967
01081,"Milk, reduced fat, fluid, 2% milkfat, protein fortified, with added vitamin A and vitamin D",cup,35968
01081,"Milk, reduced fat, fluid, 2% milkfat, protein fortified, with added vitamin A and vitamin D",quart,35969
01082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",gram,35970
01082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",cup,35971
01082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",fl oz,35972
01082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",quart,35973
01083,"Milk, lowfat, fluid, 1% milkfat, with added nonfat milk solids, vitamin A and vitamin D",gram,35974
01083,"Milk, lowfat, fluid, 1% milkfat, with added nonfat milk solids, vitamin A and vitamin D",cup,35975
01083,"Milk, lowfat, fluid, 1% milkfat, with added nonfat milk solids, vitamin A and vitamin D",quart,35976
01084,"Milk, lowfat, fluid, 1% milkfat, protein fortified, with added vitamin A and vitamin D",gram,35977
01084,"Milk, lowfat, fluid, 1% milkfat, protein fortified, with added vitamin A and vitamin D",cup,35978
01084,"Milk, lowfat, fluid, 1% milkfat, protein fortified, with added vitamin A and vitamin D",quart,35979
01085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",gram,35980
01085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",cup,35981
01085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",fl oz,35982
01085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",quart,35983
01086,"Milk, nonfat, fluid, with added nonfat milk solids, vitamin A and vitamin D (fat free or skim)",gram,35984
01086,"Milk, nonfat, fluid, with added nonfat milk solids, vitamin A and vitamin D (fat free or skim)",cup,35985
01086,"Milk, nonfat, fluid, with added nonfat milk solids, vitamin A and vitamin D (fat free or skim)",fl oz,35986
01086,"Milk, nonfat, fluid, with added nonfat milk solids, vitamin A and vitamin D (fat free or skim)",quart,35987
01087,"Milk, nonfat, fluid, protein fortified, with added vitamin A and vitamin D (fat free and skim)",gram,35988
01087,"Milk, nonfat, fluid, protein fortified, with added vitamin A and vitamin D (fat free and skim)",cup,35989
01087,"Milk, nonfat, fluid, protein fortified, with added vitamin A and vitamin D (fat free and skim)",quart,35990
01088,"Milk, buttermilk, fluid, cultured, lowfat",gram,35991
01088,"Milk, buttermilk, fluid, cultured, lowfat",cup,35992
01088,"Milk, buttermilk, fluid, cultured, lowfat",fl oz,35993
01088,"Milk, buttermilk, fluid, cultured, lowfat",quart,35994
01095,"Milk, canned, condensed, sweetened",gram,35995
01095,"Milk, canned, condensed, sweetened",fl oz,35996
01095,"Milk, canned, condensed, sweetened",cup,35997
01096,"Milk, canned, evaporated, with added vitamin D and without added vitamin A",gram,35998
01096,"Milk, canned, evaporated, with added vitamin D and without added vitamin A",fl oz,35999
01096,"Milk, canned, evaporated, with added vitamin D and without added vitamin A",cup,36000
01096,"Milk, canned, evaporated, with added vitamin D and without added vitamin A",can (13 oz),36001
01096,"Milk, canned, evaporated, with added vitamin D and without added vitamin A",cup,36002
01097,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",gram,36003
01097,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",fl oz,36004
01097,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",cup,36005
01097,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",cup,36006
01102,"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",gram,36007
01102,"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",cup,36008
01102,"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",fl oz,36009
01102,"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",quart,36010
01103,"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",gram,36011
01103,"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",cup,36012
01103,"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",fl oz,36013
01103,"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",quart,36014
01106,"Milk, goat, fluid, with added vitamin D",gram,36015
01106,"Milk, goat, fluid, with added vitamin D",fl oz,36016
01106,"Milk, goat, fluid, with added vitamin D",cup,36017
01106,"Milk, goat, fluid, with added vitamin D",quart,36018
01116,"Yogurt, plain, whole milk, 8 grams protein per 8 ounce",gram,36019
01116,"Yogurt, plain, whole milk, 8 grams protein per 8 ounce",container (6 oz),36020
01116,"Yogurt, plain, whole milk, 8 grams protein per 8 ounce",container (8 oz),36021
01116,"Yogurt, plain, whole milk, 8 grams protein per 8 ounce",container (4 oz),36022
01116,"Yogurt, plain, whole milk, 8 grams protein per 8 ounce",cup (8 fl oz),36023
01117,"Yogurt, plain, low fat, 12 grams protein per 8 ounce",gram,36024
01117,"Yogurt, plain, low fat, 12 grams protein per 8 ounce",container (6 oz),36025
01117,"Yogurt, plain, low fat, 12 grams protein per 8 ounce",container (8 oz),36026
01117,"Yogurt, plain, low fat, 12 grams protein per 8 ounce",container (4 oz),36027
01117,"Yogurt, plain, low fat, 12 grams protein per 8 ounce",cup (8 fl oz),36028
01118,"Yogurt, plain, skim milk, 13 grams protein per 8 ounce",gram,36029
01118,"Yogurt, plain, skim milk, 13 grams protein per 8 ounce",container (6 oz),36030
01118,"Yogurt, plain, skim milk, 13 grams protein per 8 ounce",container (8 oz),36031
01118,"Yogurt, plain, skim milk, 13 grams protein per 8 ounce",cup (8 fl oz),36032
01124,"Egg, white, raw, fresh",gram,36033
01124,"Egg, white, raw, fresh",large,36034
01124,"Egg, white, raw, fresh",cup,36035
01125,"Egg, yolk, raw, fresh",gram,36036
01125,"Egg, yolk, raw, fresh",large,36037
01125,"Egg, yolk, raw, fresh",cup,36038
01138,"Egg, duck, whole, fresh, raw",gram,36039
01138,"Egg, duck, whole, fresh, raw",egg,36040
01139,"Egg, goose, whole, fresh, raw",gram,36041
01139,"Egg, goose, whole, fresh, raw",egg,36042
01140,"Egg, quail, whole, fresh, raw",gram,36043
01140,"Egg, quail, whole, fresh, raw",egg,36044
01141,"Egg, turkey, whole, fresh, raw",gram,36045
01141,"Egg, turkey, whole, fresh, raw",egg,36046
01145,"Butter, without salt",gram,36047
01145,"Butter, without salt","pat (1"" sq, 1/3"" high)",36048
01145,"Butter, without salt",tbsp,36049
01145,"Butter, without salt",cup,36050
01145,"Butter, without salt",stick,36051
01146,"Cheese, parmesan, shredded",gram,36052
01146,"Cheese, parmesan, shredded",tbsp,36053
01151,"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)",gram,36054
01151,"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)",cup,36055
01151,"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)",quart,36056
01153,"Milk, canned, evaporated, with added vitamin A",gram,36057
01153,"Milk, canned, evaporated, with added vitamin A",fl oz,36058
01153,"Milk, canned, evaporated, with added vitamin A",cup,36059
