01017	Cheese, cream	Serek œmietankowy	package, small (3 oz)	35861	paczka, ma³a (85 gram)
01018	Cheese, edam	Ser Edam	gram	35862	gram
01018	Cheese, edam	Ser Edam	oz	35863	uncja (28 gram)
01018	Cheese, edam	Ser Edam	package (7 oz)	35864	paczka (200 gram)
01019	Cheese, feta	Ser Feta	gram	35865	gram
01019	Cheese, feta	Ser Feta	cup, crumbled	35866	szklanka, pokruszony
01019	Cheese, feta	Ser Feta	oz	35867	uncja (28 gram)
01019	Cheese, feta	Ser Feta	cubic inch	35868	cal szeœcienny
01019	Cheese, feta	Ser Feta	wedge (1.33 oz)	35869	klin (36 gram)
01022	Cheese, gouda	Ser Gouda	gram	35870	gram
01022	Cheese, gouda	Ser Gouda	oz	35871	uncja (28 gram)
01022	Cheese, gouda	Ser Gouda	package (7 oz)	35872	paczka (200 gram)
01025	Cheese, monterey	Ser Monterey	gram	35873	gram
01025	Cheese, monterey	Ser Monterey	cup, diced	35874	szklanka, pokrojony w kostkê
01025	Cheese, monterey	Ser Monterey	cup, shredded	35875	szklanka, posiekany
01025	Cheese, monterey	Ser Monterey	oz	35876	uncja (28 gram)
01025	Cheese, monterey	Ser Monterey	cubic inch	35877	cal szeœcienny
01025	Cheese, monterey	Ser Monterey	slice (1 oz)	35878	plaster (28 g)
01025	Cheese, monterey	Ser Monterey	package (6 oz)	35879	paczka (170 gram)
01026	Cheese, mozzarella, whole milk	Ser Mozarella, t³usty	gram	35880	gram
01026	Cheese, mozzarella, whole milk	Ser Mozarella, t³usty	cup, shredded	35881	szklanka, posiekany
01026	Cheese, mozzarella, whole milk	Ser Mozarella, t³usty	oz	35882	uncja (28 gram)
01026	Cheese, mozzarella, whole milk	Ser Mozarella, t³usty	slices	35883	plaster (28 gram)
01027	Cheese, mozzarella, whole milk, low moisture	Ser Mozarella, t³usty, w zalewie	gram	35884	gram
01027	Cheese, mozzarella, whole milk, low moisture	Ser Mozarella, t³usty, w zalewie	oz	35885	uncja (28 gram)
01027	Cheese, mozzarella, whole milk, low moisture	Ser Mozarella, t³usty, w zalewie	cubic inch	35886	cal szeœcienny
01028	Cheese, mozzarella, part skim milk	Ser Mozarella, chudy	gram	35887	gram
01028	Cheese, mozzarella, part skim milk	Ser Mozarella, chudy	oz	35888	uncja (28 gram)
01029	Cheese, mozzarella, low moisture, part-skim	Ser Mozarella, chudy, w zalewie	gram	35889	gram
01029	Cheese, mozzarella, low moisture, part-skim	Ser Mozarella, chudy, w zalewie	cup, diced	35890	szklanka, pokrojony w kostkê
01029	Cheese, mozzarella, low moisture, part-skim	Ser Mozarella, chudy, w zalewie	cup, shredded	35891	szklanka, posiekany
01029	Cheese, mozzarella, low moisture, part-skim	Ser Mozarella, chudy, w zalewie	oz	35892	uncja (28 gram)
01029	Cheese, mozzarella, low moisture, part-skim	Ser Mozarella, chudy, w zalewie	cubic inch	35893	cal szeœcienny
01029	Cheese, mozzarella, low moisture, part-skim	Ser Mozarella, chudy, w zalewie	slice (1 oz)	35894	plaster (28 g)
01032	Cheese, parmesan, grated	Ser Parmezan, tarty	gram	35895	gram
01032	Cheese, parmesan, grated	Ser Parmezan, tarty	cup	35896	szklanka
01032	Cheese, parmesan, grated	Ser Parmezan, tarty	tbsp	35897	³y¿ka
01032	Cheese, parmesan, grated	Ser Parmezan, tarty	oz	35898	uncja (28 gram)
01033	Cheese, parmesan, hard	Ser Parmezan, twardy	gram	35899	gram
01033	Cheese, parmesan, hard	Ser Parmezan, twardy	oz	35900	uncja (28 gram)
01033	Cheese, parmesan, hard	Ser Parmezan, twardy	cubic inch	35901	cal szeœcienny
